"start","end","open","close","high","low","volume"
"2019-07-28T07:00:00.000Z","2019-07-28T07:00:00.000Z",9503.47,9481.09,9515.23,9480.99,435.14
"2019-07-28T08:00:00.000Z","2019-07-28T08:00:00.000Z",9481.09,9508.24,9524.59,9476.39,380.52
"2019-07-28T09:00:00.000Z","2019-07-28T09:00:00.000Z",9508.24,9466.31,9516.37,9465.25,368.79
"2019-07-28T10:00:00.000Z","2019-07-28T10:00:00.000Z",9466.31,9455.33,9482.45,9428.66,800.52
"2019-07-28T11:00:00.000Z","2019-07-28T11:00:00.000Z",9455.33,9522.1,9553.76,9453.26,1040.59
"2019-07-28T12:00:00.000Z","2019-07-28T12:00:00.000Z",9522.1,9501.84,9534.53,9483.49,575.01
"2019-07-28T13:00:00.000Z","2019-07-28T13:00:00.000Z",9501.84,9493.8,9505.71,9470.73,553.98
"2019-07-28T14:00:00.000Z","2019-07-28T14:00:00.000Z",9493.8,9493.45,9530.39,9486.04,439.01
"2019-07-28T15:00:00.000Z","2019-07-28T15:00:00.000Z",9493.45,9510.9,9537.08,9492.41,623.04
"2019-07-28T16:00:00.000Z","2019-07-28T16:00:00.000Z",9510.9,9521.48,9563.37,9507.85,892.72
"2019-07-28T17:00:00.000Z","2019-07-28T17:00:00.000Z",9521.48,9537.57,9554.48,9517.69,430.02
"2019-07-28T18:00:00.000Z","2019-07-28T18:00:00.000Z",9537.57,9540.9,9557.06,9526.95,621.63
"2019-07-28T19:00:00.000Z","2019-07-28T19:00:00.000Z",9540.9,9543.37,9549.74,9530.84,357.33
"2019-07-28T20:00:00.000Z","2019-07-28T20:00:00.000Z",9543.37,9518.67,9556.82,9480.03,1081.85
"2019-07-28T21:00:00.000Z","2019-07-28T21:00:00.000Z",9518.67,9455.12,9520.86,9451.35,715.8
"2019-07-28T22:00:00.000Z","2019-07-28T22:00:00.000Z",9455.12,9514.56,9591.52,9135.64,11861.31
"2019-07-28T23:00:00.000Z","2019-07-28T23:00:00.000Z",9514.56,9531.77,9577.23,9479.79,2509.45
"2019-07-29T00:00:00.000Z","2019-07-29T00:00:00.000Z",9531.77,9523.01,9547.44,9495.79,934.4
"2019-07-29T01:00:00.000Z","2019-07-29T01:00:00.000Z",9523.01,9664.52,9717.69,9521.22,3814.94
"2019-07-29T02:00:00.000Z","2019-07-29T02:00:00.000Z",9664.52,9636.16,9664.52,9618.18,1125.62
"2019-07-29T03:00:00.000Z","2019-07-29T03:00:00.000Z",9636.16,9630.01,9652.65,9621.73,648.31
"2019-07-29T04:00:00.000Z","2019-07-29T04:00:00.000Z",9630.01,9647.76,9668.76,9629.39,479.14
"2019-07-29T05:00:00.000Z","2019-07-29T05:00:00.000Z",9647.76,9599.22,9655.54,9593.41,1368.49
"2019-07-29T06:00:00.000Z","2019-07-29T06:00:00.000Z",9599.22,9593.05,9603.02,9566.79,645.33
"2019-07-29T07:00:00.000Z","2019-07-29T07:00:00.000Z",9593.05,9599.29,9601.68,9579.07,441.88
"2019-07-29T08:00:00.000Z","2019-07-29T08:00:00.000Z",9599.29,9557.6,9618.41,9542.4,1084.17
"2019-07-29T09:00:00.000Z","2019-07-29T09:00:00.000Z",9557.6,9471.52,9568.23,9386.9,2529.64
"2019-07-29T10:00:00.000Z","2019-07-29T10:00:00.000Z",9471.52,9487.62,9505.62,9446.82,795.93
"2019-07-29T11:00:00.000Z","2019-07-29T11:00:00.000Z",9487.62,9458.2,9499.23,9437.98,930.21
"2019-07-29T12:00:00.000Z","2019-07-29T12:00:00.000Z",9458.2,9516.39,9517.36,9447.64,1124.21
"2019-07-29T13:00:00.000Z","2019-07-29T13:00:00.000Z",9516.39,9534.32,9577.54,9480.21,1466.14
"2019-07-29T14:00:00.000Z","2019-07-29T14:00:00.000Z",9534.32,9516.29,9565.77,9500.32,1109.57
"2019-07-29T15:00:00.000Z","2019-07-29T15:00:00.000Z",9516.29,9517.62,9566.52,9491.97,1492.16
"2019-07-29T16:00:00.000Z","2019-07-29T16:00:00.000Z",9517.62,9540.89,9645.14,9393.54,3966.13
"2019-07-29T17:00:00.000Z","2019-07-29T17:00:00.000Z",9540.89,9481.6,9547.47,9412.32,2440.58
"2019-07-29T18:00:00.000Z","2019-07-29T18:00:00.000Z",9481.6,9503.68,9516.82,9444.02,996.32
"2019-07-29T19:00:00.000Z","2019-07-29T19:00:00.000Z",9503.68,9476.5,9516.6,9476.5,650.9
"2019-07-29T20:00:00.000Z","2019-07-29T20:00:00.000Z",9476.5,9520.83,9527.47,9467.58,859.89
"2019-07-29T21:00:00.000Z","2019-07-29T21:00:00.000Z",9520.83,9504.49,9536.86,9501.8,838.07
"2019-07-29T22:00:00.000Z","2019-07-29T22:00:00.000Z",9504.49,9513.09,9525.37,9486.36,489.77
"2019-07-29T23:00:00.000Z","2019-07-29T23:00:00.000Z",9513.09,9506.93,9526.51,9437.7,1202.59
"2019-07-30T00:00:00.000Z","2019-07-30T00:00:00.000Z",9506.93,9520.66,9528.4,9503.73,430.38
"2019-07-30T01:00:00.000Z","2019-07-30T01:00:00.000Z",9520.66,9471.93,9522.62,9464.57,595.78
"2019-07-30T02:00:00.000Z","2019-07-30T02:00:00.000Z",9471.93,9412.84,9481.79,9391.78,1611.59
"2019-07-30T03:00:00.000Z","2019-07-30T03:00:00.000Z",9412.84,9434,9439.29,9395.91,792.74
"2019-07-30T04:00:00.000Z","2019-07-30T04:00:00.000Z",9434,9425.46,9447.61,9422.18,548.06
"2019-07-30T05:00:00.000Z","2019-07-30T05:00:00.000Z",9425.46,9448.31,9453.65,9407.9,813.73
"2019-07-30T06:00:00.000Z","2019-07-30T06:00:00.000Z",9448.31,9504.37,9523.52,9447.45,1122.75
"2019-07-30T07:00:00.000Z","2019-07-30T07:00:00.000Z",9504.37,9495.73,9509.18,9484.86,474.37
"2019-07-30T08:00:00.000Z","2019-07-30T08:00:00.000Z",9495.73,9483.46,9522.47,9468.59,526.6
"2019-07-30T09:00:00.000Z","2019-07-30T09:00:00.000Z",9483.46,9487.93,9499.35,9471.28,362.9
"2019-07-30T10:00:00.000Z","2019-07-30T10:00:00.000Z",9487.93,9499.54,9523.58,9471.22,627.15
"2019-07-30T11:00:00.000Z","2019-07-30T11:00:00.000Z",9499.54,9538.05,9603.47,9470.16,1817.6
"2019-07-30T12:00:00.000Z","2019-07-30T12:00:00.000Z",9538.05,9548.72,9606.51,9528.66,1998.29
"2019-07-30T13:00:00.000Z","2019-07-30T13:00:00.000Z",9548.72,9557.14,9567.62,9539.13,757.76
"2019-07-30T14:00:00.000Z","2019-07-30T14:00:00.000Z",9557.14,9561.92,9583.91,9546.87,1095.64
"2019-07-30T15:00:00.000Z","2019-07-30T15:00:00.000Z",9561.92,9699.85,9749.53,9561.69,4818.62
"2019-07-30T16:00:00.000Z","2019-07-30T16:00:00.000Z",9699.85,9694.98,9730.79,9680.45,1665.79
"2019-07-30T17:00:00.000Z","2019-07-30T17:00:00.000Z",9694.98,9633.06,9696.23,9612.05,1697.46
"2019-07-30T18:00:00.000Z","2019-07-30T18:00:00.000Z",9633.06,9646.41,9667.79,9628.18,884.43
"2019-07-30T19:00:00.000Z","2019-07-30T19:00:00.000Z",9646.41,9608.34,9666.6,9524.86,2411.29
"2019-07-30T20:00:00.000Z","2019-07-30T20:00:00.000Z",9608.34,9542.21,9626.59,9534.99,1260.06
"2019-07-30T21:00:00.000Z","2019-07-30T21:00:00.000Z",9542.21,9588.45,9590.41,9527.58,816.29
"2019-07-30T22:00:00.000Z","2019-07-30T22:00:00.000Z",9588.45,9582.39,9651.71,9576.48,1167.09
"2019-07-30T23:00:00.000Z","2019-07-30T23:00:00.000Z",9582.39,9595.52,9615.31,9579.68,559.82
"2019-07-31T00:00:00.000Z","2019-07-31T00:00:00.000Z",9595.52,9712.01,9715.83,9581.6,2072.58
"2019-07-31T01:00:00.000Z","2019-07-31T01:00:00.000Z",9712.01,9714.15,9731.66,9672.03,1320.52
"2019-07-31T02:00:00.000Z","2019-07-31T02:00:00.000Z",9714.15,9687.22,9714.55,9676.45,518.29
"2019-07-31T03:00:00.000Z","2019-07-31T03:00:00.000Z",9687.22,9687.31,9694.77,9654.21,749.91
"2019-07-31T04:00:00.000Z","2019-07-31T04:00:00.000Z",9687.31,9685.8,9693.7,9660.36,659.47
"2019-07-31T05:00:00.000Z","2019-07-31T05:00:00.000Z",9685.8,9708.77,9785.18,9685.6,2268.18
"2019-07-31T06:00:00.000Z","2019-07-31T06:00:00.000Z",9708.77,9774.91,9788.08,9705.68,1196.6
"2019-07-31T07:00:00.000Z","2019-07-31T07:00:00.000Z",9774.91,9741.09,9816.92,9737.7,1390.95
"2019-07-31T08:00:00.000Z","2019-07-31T08:00:00.000Z",9741.09,9761.44,9780.89,9739.72,768.3
"2019-07-31T09:00:00.000Z","2019-07-31T09:00:00.000Z",9761.44,9767.36,9768.26,9733.58,782.22
"2019-07-31T10:00:00.000Z","2019-07-31T10:00:00.000Z",9767.36,9777.33,9793.37,9756.39,857.97
"2019-07-31T11:00:00.000Z","2019-07-31T11:00:00.000Z",9777.33,9767.88,9780.9,9756.63,853.01
"2019-07-31T12:00:00.000Z","2019-07-31T12:00:00.000Z",9767.88,9836.97,9890.95,9767.84,3737.28
"2019-07-31T13:00:00.000Z","2019-07-31T13:00:00.000Z",9836.97,9960.92,9961.26,9836.92,2989.99
"2019-07-31T14:00:00.000Z","2019-07-31T14:00:00.000Z",9960.92,9967.77,10046.89,9939.37,3811.02
"2019-07-31T15:00:00.000Z","2019-07-31T15:00:00.000Z",9967.77,10055.97,10092.67,9967.77,4073.32
"2019-07-31T16:00:00.000Z","2019-07-31T16:00:00.000Z",10055.97,9990.82,10123.94,9972.42,3640.45
"2019-07-31T17:00:00.000Z","2019-07-31T17:00:00.000Z",9990.82,10031.33,10039.27,9974.27,1490.01
"2019-07-31T18:00:00.000Z","2019-07-31T18:00:00.000Z",10031.33,9990.53,10037.39,9964.53,1711.22
"2019-07-31T19:00:00.000Z","2019-07-31T19:00:00.000Z",9990.53,9999.58,10018.6,9988.88,1046.78
"2019-07-31T20:00:00.000Z","2019-07-31T20:00:00.000Z",9999.58,10029.43,10068.52,9999.24,1924.39
"2019-07-31T21:00:00.000Z","2019-07-31T21:00:00.000Z",10029.43,10049.74,10056.44,10016.41,981.65
"2019-07-31T22:00:00.000Z","2019-07-31T22:00:00.000Z",10049.74,10014.56,10054.31,9988.53,1256.93
"2019-07-31T23:00:00.000Z","2019-07-31T23:00:00.000Z",10014.56,10089.25,10100.12,10005.23,1928.97
"2019-08-01T00:00:00.000Z","2019-08-01T00:00:00.000Z",10089.25,10054.28,10164.91,10046.36,2528.09
"2019-08-01T01:00:00.000Z","2019-08-01T01:00:00.000Z",10054.28,10036.94,10067.54,10002.38,1317.84
"2019-08-01T02:00:00.000Z","2019-08-01T02:00:00.000Z",10036.94,10041.13,10046.23,10013.46,964.04
"2019-08-01T03:00:00.000Z","2019-08-01T03:00:00.000Z",10041.13,10009.86,10042.3,9988.97,1123.05
"2019-08-01T04:00:00.000Z","2019-08-01T04:00:00.000Z",10009.86,9990.42,10016.73,9953.59,1408.48
"2019-08-01T05:00:00.000Z","2019-08-01T05:00:00.000Z",9990.42,9930.5,10002.58,9911.78,1314.97
"2019-08-01T06:00:00.000Z","2019-08-01T06:00:00.000Z",9930.5,9964.66,9970.56,9890.49,2372.9
"2019-08-01T07:00:00.000Z","2019-08-01T07:00:00.000Z",9964.66,9974.32,9992.54,9951.97,824.53
"2019-08-01T08:00:00.000Z","2019-08-01T08:00:00.000Z",9974.32,9986.91,10000.31,9974.29,501.78
"2019-08-01T09:00:00.000Z","2019-08-01T09:00:00.000Z",9986.91,9963.16,9986.91,9937.15,1162.49
"2019-08-01T10:00:00.000Z","2019-08-01T10:00:00.000Z",9963.16,9954.02,9965.28,9923.68,580.97
"2019-08-01T11:00:00.000Z","2019-08-01T11:00:00.000Z",9954.02,9975.79,9980.92,9934.3,551.76
"2019-08-01T12:00:00.000Z","2019-08-01T12:00:00.000Z",9975.79,10031.17,10041.08,9972.51,1954.43
"2019-08-01T13:00:00.000Z","2019-08-01T13:00:00.000Z",10031.17,10054.22,10065.43,10018.49,1243.28
"2019-08-01T14:00:00.000Z","2019-08-01T14:00:00.000Z",10054.22,10003.4,10054.22,9989.38,1281.07
"2019-08-01T15:00:00.000Z","2019-08-01T15:00:00.000Z",10003.4,10024.67,10030.37,9978.88,1057.52
"2019-08-01T16:00:00.000Z","2019-08-01T16:00:00.000Z",10024.67,10070.55,10073.76,10015.68,1564.45
"2019-08-01T17:00:00.000Z","2019-08-01T17:00:00.000Z",10070.55,10110.64,10120.87,10031.44,1792.6
"2019-08-01T18:00:00.000Z","2019-08-01T18:00:00.000Z",10110.64,10191.29,10213.07,10095.13,3363.81
"2019-08-01T19:00:00.000Z","2019-08-01T19:00:00.000Z",10191.29,10293.04,10333.06,10191.2,4812.72
"2019-08-01T20:00:00.000Z","2019-08-01T20:00:00.000Z",10293.04,10412.11,10488.81,10293.04,6858.7
"2019-08-01T21:00:00.000Z","2019-08-01T21:00:00.000Z",10412.11,10417.21,10438.13,10378.96,2383.58
"2019-08-01T22:00:00.000Z","2019-08-01T22:00:00.000Z",10417.21,10403.97,10443.92,10379.65,1400.44
"2019-08-01T23:00:00.000Z","2019-08-01T23:00:00.000Z",10403.97,10409.79,10428.49,10386.76,1141.64
"2019-08-02T00:00:00.000Z","2019-08-02T00:00:00.000Z",10409.79,10402.82,10455.87,10340.82,2213.41
"2019-08-02T01:00:00.000Z","2019-08-02T01:00:00.000Z",10402.82,10405.15,10423.96,10385.95,703.39
"2019-08-02T02:00:00.000Z","2019-08-02T02:00:00.000Z",10405.15,10415.7,10431.76,10403.05,666.46
"2019-08-02T03:00:00.000Z","2019-08-02T03:00:00.000Z",10415.7,10365.18,10418.15,10364.83,1280.07
"2019-08-02T04:00:00.000Z","2019-08-02T04:00:00.000Z",10365.18,10395.96,10410.8,10356.44,1094.55
"2019-08-02T05:00:00.000Z","2019-08-02T05:00:00.000Z",10395.96,10433.88,10436.58,10378.09,1742.06
"2019-08-02T06:00:00.000Z","2019-08-02T06:00:00.000Z",10433.88,10483.3,10521.34,10433.88,2746.13
"2019-08-02T07:00:00.000Z","2019-08-02T07:00:00.000Z",10483.3,10543.31,10574.72,10482.44,2574.17
"2019-08-02T08:00:00.000Z","2019-08-02T08:00:00.000Z",10543.31,10523.41,10543.78,10497.62,1933.51
"2019-08-02T09:00:00.000Z","2019-08-02T09:00:00.000Z",10523.41,10475.3,10555.03,10467.31,1608.81
"2019-08-02T10:00:00.000Z","2019-08-02T10:00:00.000Z",10475.3,10512.44,10522.07,10471.91,1022.13
"2019-08-02T11:00:00.000Z","2019-08-02T11:00:00.000Z",10512.44,10487.22,10542.45,10484.28,1240.12
"2019-08-02T12:00:00.000Z","2019-08-02T12:00:00.000Z",10487.22,10557.23,10566.94,10483.52,1678.37
"2019-08-02T13:00:00.000Z","2019-08-02T13:00:00.000Z",10557.23,10542.85,10560.14,10520.28,1067.23
"2019-08-02T14:00:00.000Z","2019-08-02T14:00:00.000Z",10542.85,10591.23,10591.5,10516.35,2037.25
"2019-08-02T15:00:00.000Z","2019-08-02T15:00:00.000Z",10591.23,10621.72,10638.38,10555.69,3110.92
"2019-08-02T16:00:00.000Z","2019-08-02T16:00:00.000Z",10621.72,10440.43,10666.64,10392.4,7683.91
"2019-08-02T17:00:00.000Z","2019-08-02T17:00:00.000Z",10440.43,10459.05,10472.72,10409.73,1605.96
"2019-08-02T18:00:00.000Z","2019-08-02T18:00:00.000Z",10459.05,10461.97,10487.91,10430.15,1428.93
"2019-08-02T19:00:00.000Z","2019-08-02T19:00:00.000Z",10461.97,10469.12,10477.53,10426.95,1142.17
"2019-08-02T20:00:00.000Z","2019-08-02T20:00:00.000Z",10469.12,10402.25,10469.52,10372.69,2255.75
"2019-08-02T21:00:00.000Z","2019-08-02T21:00:00.000Z",10402.25,10425.87,10447.69,10365.92,1592.2
"2019-08-02T22:00:00.000Z","2019-08-02T22:00:00.000Z",10425.87,10516.9,10523.92,10418.96,1107.33
"2019-08-02T23:00:00.000Z","2019-08-02T23:00:00.000Z",10516.9,10528.99,10540.6,10507.69,678.25
"2019-08-03T00:00:00.000Z","2019-08-03T00:00:00.000Z",10528.99,10518.7,10547.44,10509.35,675.07
"2019-08-03T01:00:00.000Z","2019-08-03T01:00:00.000Z",10518.7,10645.7,10669.7,10517.4,3270.36
"2019-08-03T02:00:00.000Z","2019-08-03T02:00:00.000Z",10645.7,10792.6,10816.77,10611.27,4662.39
"2019-08-03T03:00:00.000Z","2019-08-03T03:00:00.000Z",10792.6,10782.09,10828.29,10764.23,2300.98
"2019-08-03T04:00:00.000Z","2019-08-03T04:00:00.000Z",10782.09,10843.21,10852.02,10781.49,1640.56
"2019-08-03T05:00:00.000Z","2019-08-03T05:00:00.000Z",10843.21,10785.94,10857.97,10722.64,2035.27
"2019-08-03T06:00:00.000Z","2019-08-03T06:00:00.000Z",10785.94,10795.6,10823.91,10771.71,721.51
"2019-08-03T07:00:00.000Z","2019-08-03T07:00:00.000Z",10795.6,10826.68,10842.86,10777.72,887.01
"2019-08-03T08:00:00.000Z","2019-08-03T08:00:00.000Z",10826.68,10789.4,10837.64,10759.68,727.7
"2019-08-03T09:00:00.000Z","2019-08-03T09:00:00.000Z",10789.4,10773.51,10873.55,10728.72,1935.52
"2019-08-03T10:00:00.000Z","2019-08-03T10:00:00.000Z",10773.51,10789.39,10801.4,10753.35,483.87
"2019-08-03T11:00:00.000Z","2019-08-03T11:00:00.000Z",10789.39,10766.59,10795.59,10760.45,575.96
"2019-08-03T12:00:00.000Z","2019-08-03T12:00:00.000Z",10766.59,10751.11,10768.33,10699.71,1047.84
"2019-08-03T13:00:00.000Z","2019-08-03T13:00:00.000Z",10751.11,10807.85,10829.53,10748.71,1212.61
"2019-08-03T14:00:00.000Z","2019-08-03T14:00:00.000Z",10807.85,10801.1,10827.23,10789,752.96
"2019-08-03T15:00:00.000Z","2019-08-03T15:00:00.000Z",10801.1,10754.96,10813.55,10729.58,1346.43
"2019-08-03T16:00:00.000Z","2019-08-03T16:00:00.000Z",10754.96,10806.8,10833.16,10736.06,1396.95
"2019-08-03T17:00:00.000Z","2019-08-03T17:00:00.000Z",10806.8,10837.35,10855.94,10797.89,1726.92
"2019-08-03T18:00:00.000Z","2019-08-03T18:00:00.000Z",10837.35,10863.52,10885.48,10810.67,1147.6
"2019-08-03T19:00:00.000Z","2019-08-03T19:00:00.000Z",10863.52,10862.61,10915,10819.58,1778.34
"2019-08-03T20:00:00.000Z","2019-08-03T20:00:00.000Z",10862.61,10881.65,10883.83,10832.55,935.53
"2019-08-03T21:00:00.000Z","2019-08-03T21:00:00.000Z",10881.65,10836.73,10894.35,10817.96,1346
"2019-08-03T22:00:00.000Z","2019-08-03T22:00:00.000Z",10836.73,10832.64,10845.69,10784,899.97
"2019-08-03T23:00:00.000Z","2019-08-03T23:00:00.000Z",10832.64,10820.41,10835.01,10799.37,595.59
"2019-08-04T00:00:00.000Z","2019-08-04T00:00:00.000Z",10820.41,10858.76,10910.81,10814.12,1344.1
"2019-08-04T01:00:00.000Z","2019-08-04T01:00:00.000Z",10858.76,10864.9,10891.1,10856.73,422.6
"2019-08-04T02:00:00.000Z","2019-08-04T02:00:00.000Z",10864.9,10835.93,10870.45,10823.23,707.77
"2019-08-04T03:00:00.000Z","2019-08-04T03:00:00.000Z",10835.93,10776.43,10838.83,10717.56,2311.26
"2019-08-04T04:00:00.000Z","2019-08-04T04:00:00.000Z",10776.43,10641.28,10777.24,10614.04,3134.32
"2019-08-04T05:00:00.000Z","2019-08-04T05:00:00.000Z",10641.28,10629.38,10683.57,10572.24,2140.14
"2019-08-04T06:00:00.000Z","2019-08-04T06:00:00.000Z",10629.38,10736.96,10737.35,10619.54,1330.89
"2019-08-04T07:00:00.000Z","2019-08-04T07:00:00.000Z",10736.96,10696.2,10737.25,10679.19,630.46
"2019-08-04T08:00:00.000Z","2019-08-04T08:00:00.000Z",10696.2,10696.96,10724.91,10690.76,487.03
"2019-08-04T09:00:00.000Z","2019-08-04T09:00:00.000Z",10696.96,10742.84,10744.07,10654.91,886.07
"2019-08-04T10:00:00.000Z","2019-08-04T10:00:00.000Z",10742.84,10732.96,10743.55,10713.6,570.55
"2019-08-04T11:00:00.000Z","2019-08-04T11:00:00.000Z",10732.96,10687.02,10733.1,10681.28,637.83
"2019-08-04T12:00:00.000Z","2019-08-04T12:00:00.000Z",10687.02,10674.87,10717.38,10661.33,818.12
"2019-08-04T13:00:00.000Z","2019-08-04T13:00:00.000Z",10674.87,10683.93,10714.74,10665.48,663.97
"2019-08-04T14:00:00.000Z","2019-08-04T14:00:00.000Z",10683.93,10797.31,10799.02,10681.14,2200.53
"2019-08-04T15:00:00.000Z","2019-08-04T15:00:00.000Z",10797.31,10978.62,10998.76,10795.37,5411.05
"2019-08-04T16:00:00.000Z","2019-08-04T16:00:00.000Z",10978.62,10959.08,11033.53,10935.06,3322.22
"2019-08-04T17:00:00.000Z","2019-08-04T17:00:00.000Z",10959.08,10929.76,10976.12,10901.6,1468.75
"2019-08-04T18:00:00.000Z","2019-08-04T18:00:00.000Z",10929.76,10943.89,10976.78,10919.78,1403.45
"2019-08-04T19:00:00.000Z","2019-08-04T19:00:00.000Z",10943.89,10954.22,10970.07,10935.6,1074.12
"2019-08-04T20:00:00.000Z","2019-08-04T20:00:00.000Z",10954.22,10945.39,11005.03,10925.57,1608.01
"2019-08-04T21:00:00.000Z","2019-08-04T21:00:00.000Z",10945.39,10965.94,10977.53,10803.16,2807.74
"2019-08-04T22:00:00.000Z","2019-08-04T22:00:00.000Z",10965.94,10983.69,11074.95,10952.35,3489.69
"2019-08-04T23:00:00.000Z","2019-08-04T23:00:00.000Z",10983.69,10978.91,11013.95,10950.75,924.64
"2019-08-05T00:00:00.000Z","2019-08-05T00:00:00.000Z",10978.91,11217.51,11226.6,10978.89,4027.86
"2019-08-05T01:00:00.000Z","2019-08-05T01:00:00.000Z",11217.51,11418.68,11462.94,11191.85,6994.73
"2019-08-05T02:00:00.000Z","2019-08-05T02:00:00.000Z",11418.68,11590.37,11613.17,11386.48,5451.7
"2019-08-05T03:00:00.000Z","2019-08-05T03:00:00.000Z",11590.37,11573.48,11644.84,11512.25,3929.72
"2019-08-05T04:00:00.000Z","2019-08-05T04:00:00.000Z",11573.48,11574.45,11613.83,11546.03,2022.34
"2019-08-05T05:00:00.000Z","2019-08-05T05:00:00.000Z",11574.45,11556.45,11579.18,11533.19,1471.77
"2019-08-05T06:00:00.000Z","2019-08-05T06:00:00.000Z",11556.45,11619.32,11639.64,11539.17,2077.7
"2019-08-05T07:00:00.000Z","2019-08-05T07:00:00.000Z",11619.32,11694.01,11845.5,11614.53,6694.63
"2019-08-05T08:00:00.000Z","2019-08-05T08:00:00.000Z",11694.01,11764.59,11764.88,11673.81,2261.09
"2019-08-05T09:00:00.000Z","2019-08-05T09:00:00.000Z",11764.59,11738.01,11765.91,11698.48,1452.5
"2019-08-05T10:00:00.000Z","2019-08-05T10:00:00.000Z",11738.01,11649.38,11783.71,11629.13,2743.97
"2019-08-05T11:00:00.000Z","2019-08-05T11:00:00.000Z",11649.38,11796.71,11805.72,11625.87,2567.19
"2019-08-05T12:00:00.000Z","2019-08-05T12:00:00.000Z",11796.71,11795.75,11833.09,11734.11,3220.49
"2019-08-05T13:00:00.000Z","2019-08-05T13:00:00.000Z",11795.75,11768.33,11818.6,11743.13,2186.98
"2019-08-05T14:00:00.000Z","2019-08-05T14:00:00.000Z",11768.33,11788.43,11828.19,11753.22,2064.05
